Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,source_file
RETURNED,2025-02-24T10:12:11.021000Z,,,2025-02-24T21:46:24.970549Z,,515,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_67bc420cf2eef3d0f2274dd2.csv
RETURNED,2025-02-24T10:20:50.589000Z,,,2025-02-24T21:46:24.971490Z,,2006,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_67bc420cf2eef3d0f2274dd2.csv
RETURNED,2025-02-24T10:28:03.705000Z,,,2025-02-24T21:46:24.974166Z,,18,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_67bc420cf2eef3d0f2274dd2.csv
RETURNED,2025-02-24T10:28:57.281000Z,,,2025-02-24T21:46:24.976388Z,,519,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T11:24:46.800000Z,2025-02-24T12:10:01.888000Z,2025-02-24T12:10:02.869000Z,2025-02-24T12:10:02.749678Z,2716.0,6,54,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T11:26:46.452000Z,2025-02-24T12:15:24.910000Z,2025-02-24T12:15:34.271000Z,2025-02-24T12:15:25.610534Z,2919.0,1834,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T12:12:18.129000Z,2025-02-24T12:37:31.027000Z,2025-02-24T12:37:31.810000Z,2025-02-24T12:37:31.736833Z,1513.0,390,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T12:15:53.920000Z,2025-02-24T12:32:22.095000Z,2025-02-24T12:32:22.975000Z,2025-02-24T12:32:22.848964Z,989.0,287,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T12:32:22.256000Z,2025-02-24T12:58:21.235000Z,2025-02-24T12:58:22.071000Z,2025-02-24T12:58:21.985143Z,1559.0,295,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T12:37:46.192000Z,2025-02-24T13:25:57.074000Z,2025-02-24T13:25:57.912000Z,2025-02-24T13:25:57.837126Z,2891.0,82,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T12:58:22.404000Z,2025-02-24T13:45:26.804000Z,2025-02-24T13:45:29.235000Z,2025-02-24T13:45:27.717582Z,2825.0,470,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T13:27:21.933000Z,2025-02-24T14:27:24.999000Z,2025-02-24T14:27:25.782000Z,2025-02-24T14:27:25.689117Z,3604.0,309,24,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T13:52:38.166000Z,2025-02-24T15:15:05.241000Z,2025-02-24T15:15:08.132000Z,2025-02-24T15:15:16.283838Z,4948.0,917,29,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T14:27:54.585000Z,2025-02-24T15:08:34.755000Z,2025-02-24T15:08:35.638000Z,2025-02-24T15:08:35.515658Z,2441.0,61,19,Female,Asian,Philippines,United Kingdom,Philippines,English,Yes,Other,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T15:08:34.905000Z,2025-02-24T15:49:54.438000Z,2025-02-24T15:49:58.861000Z,2025-02-24T15:49:58.693981Z,2480.0,140,30,Male,Black,United Kingdom,United Kingdom,DATA_EXPIRED,English,DATA_EXPIRED,DATA_EXPIRED,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T15:15:47.483000Z,2025-02-24T15:41:39.886000Z,2025-02-24T15:41:41.111000Z,2025-02-24T15:41:40.978564Z,1553.0,382,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T15:42:37.222000Z,2025-02-24T16:33:44.068000Z,2025-02-24T16:33:45.285000Z,2025-02-24T16:33:45.125435Z,3067.0,585,48,Male,White,United States,United States,United States,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T15:50:17.443000Z,2025-02-24T16:44:37.877000Z,2025-02-24T16:44:39.152000Z,2025-02-24T16:44:38.985941Z,3261.0,763,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T16:33:55.125000Z,2025-02-24T17:03:33.299000Z,2025-02-24T17:03:36.784000Z,2025-02-24T17:03:34.242120Z,1779.0,377,44,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T16:44:46.796000Z,2025-02-24T17:38:45.331000Z,2025-02-24T17:38:46.365000Z,2025-02-24T17:38:46.271749Z,3239.0,337,32,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T17:03:33.549000Z,2025-02-24T18:25:09.306000Z,2025-02-24T18:25:13.929000Z,2025-02-24T18:25:10.200152Z,4896.0,442,38,Male,Black,United States,United States,United States,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T17:38:45.393000Z,2025-02-24T18:07:28.819000Z,2025-02-24T18:07:30.798000Z,2025-02-24T18:07:29.699819Z,1724.0,225,60,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T18:07:29.121000Z,2025-02-24T18:36:31.653000Z,2025-02-24T18:36:40.483000Z,2025-02-24T18:36:32.718818Z,1743.0,341,20,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T18:25:48.514000Z,2025-02-24T21:37:00.932000Z,2025-02-24T21:37:02.425000Z,2025-02-24T21:37:02.835083Z,11473.0,243,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T18:36:31.672000Z,2025-02-24T19:05:39.432000Z,2025-02-24T19:05:43.211000Z,2025-02-24T19:05:40.321059Z,1748.0,1236,45,Female,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Part-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T19:05:39.932000Z,2025-02-24T20:30:41.847000Z,2025-02-24T21:53:25.878000Z,2025-02-24T20:32:26.253662Z,5102.0,4412,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T19:52:52.143000Z,2025-02-24T21:08:43.168000Z,2025-02-24T21:08:44.241000Z,2025-02-24T21:08:44.086363Z,4552.0,1834,41,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T20:30:42.330000Z,2025-02-24T20:57:28.296000Z,2025-02-24T20:57:29.226000Z,2025-02-24T20:57:29.104928Z,1606.0,123,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T20:57:28.440000Z,2025-02-24T22:11:10.099000Z,2025-02-24T22:11:13.667000Z,2025-02-24T22:11:10.874295Z,4422.0,213,58,Male,White,United States,United States,United States,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T21:08:43.566000Z,2025-02-24T21:24:58.068000Z,2025-02-24T21:25:17.270000Z,2025-02-24T21:24:58.906627Z,975.0,281,41,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T21:24:58.120000Z,2025-02-24T22:39:18.402000Z,2025-02-24T22:39:19.540000Z,2025-02-24T22:39:19.404470Z,4461.0,5048,37,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T22:14:52.373000Z,2025-02-24T22:59:11.326000Z,2025-02-24T22:59:14.001000Z,2025-02-24T22:59:12.323555Z,2659.0,494,36,Male,Black,Germany,United Kingdom,Canada,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T22:39:18.524000Z,2025-02-24T23:38:13.084000Z,2025-02-24T23:38:14.742000Z,2025-02-24T23:38:13.875776Z,3535.0,232,22,Male,White,United States,United States,United States,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T22:59:11.352000Z,2025-02-24T23:05:21.079000Z,2025-03-05T17:05:14.456000Z,2025-02-24T23:05:22.869765Z,370.0,936,62,Male,White,United States,United States,United States,English,Yes,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T23:05:21.395000Z,2025-02-25T00:23:49.027000Z,2025-02-25T00:23:52.167000Z,2025-02-25T00:23:49.820244Z,4708.0,1679,80,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-24T23:46:24.929000Z,2025-02-25T00:40:15.936000Z,2025-02-25T00:40:17.333000Z,2025-02-25T00:40:17.249625Z,3232.0,1289,49,Male,White,United States,United States,DATA_EXPIRED,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-25T00:24:02.917000Z,2025-02-25T01:01:14.744000Z,2025-02-25T01:01:16.113000Z,2025-02-25T01:01:16.028756Z,2232.0,160,28,Female,Black,United States,United States,United States,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-25T00:42:59.870000Z,2025-02-25T01:45:09.619000Z,2025-02-25T01:45:10.504000Z,2025-02-25T01:45:10.442294Z,3730.0,120,23,Female,White,United States,United States,United States,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-25T01:01:31.962000Z,2025-02-25T01:33:12.258000Z,2025-02-25T01:33:15.396000Z,2025-02-25T01:33:13.445006Z,1901.0,1501,35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-25T01:35:46.533000Z,2025-02-25T02:26:59.843000Z,2025-02-25T02:27:00.736000Z,2025-02-25T02:27:00.663137Z,3074.0,668,55,Female,Other,United States,United States,United States,English,No,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-25T01:46:11.584000Z,2025-02-25T02:04:17.009000Z,2025-02-25T02:04:17.968000Z,2025-02-25T02:04:17.823281Z,1086.0,2802,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,prolific_export_67bc420cf2eef3d0f2274dd2.csv
APPROVED,2025-02-25T02:04:20.754000Z,2025-02-25T03:01:28.383000Z,2025-02-25T03:01:30.480000Z,2025-02-25T03:01:30.331849Z,3428.0,346,43,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,prolific_export_67bc420cf2eef3d0f2274dd2.csv
